Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Complexity Average,Owned Users,baverage,numgeeklists,numwanting,numcomments,siteviews,numplays,numplays_month,boardgamecategory_cnt,boardgamemechanic_cnt,boardgamefamily_cnt,Domains_Abstract Games,Domains_Children's Games,Domains_Customizable Games,Domains_Family Games,Domains_Party Games,Domains_Strategy Games,Domains_Thematic Games,Domains_Unknown,Domains_Wargames,target
Copa,2013,2,5,30,7,75.0,1.67,134,5.54635,30.0,8.0,20.0,14677.0,294.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.68
Mini Cywilizacja,2015,2,5,30,8,114.0,2.0,216,5.54705,6.0,0.0,13.0,6050.0,312.0,0.0,4.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.35
Galactic Strike Force,2014,2,6,60,13,465.0,3.31,1169,5.54882,594.0,8.0,194.0,107952.0,675.0,0.0,2.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.73
Arcadia,2015,2,4,60,8,272.0,2.0,666,5.54555,225.0,11.0,104.0,46008.0,476.0,0.0,1.0,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.85
General Quarters (Third Edition),2006,2,12,120,12,45.0,3.4,121,5.55193,15.0,3.0,26.0,32696.0,62.0,0.0,4.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.38
Bilder,2018,2,12,60,8,64.0,2.0,140,5.54763,30.0,3.0,28.0,7159.0,185.0,0.0,3.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.84
Command at Sea: 4th Edition - War at Sea 1926-1955,2008,1,8,0,12,39.0,4.2,150,5.5476,7.0,6.0,15.0,25274.0,8.0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.96
Melee & Wizard,2018,2,0,60,10,40.0,2.5,184,5.54788,2.0,7.0,23.0,9410.0,69.0,0.0,3.0,7.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.49
Gutshot,2005,2,10,240,12,40.0,2.89,83,5.54762,29.0,4.0,23.0,22028.0,118.0,0.0,4.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.77
Twilight of the Ottomans: World War I in the Middle East,2007,2,2,360,12,53.0,2.88,313,5.54482,25.0,18.0,47.0,28497.0,32.0,0.0,2.0,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.11
18CLE,2016,3,6,270,18,44.0,4.0,57,5.54758,22.0,30.0,14.0,21404.0,86.0,0.0,2.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.33
STEM: Epic Heroes,2017,2,4,30,13,158.0,1.58,550,5.55037,62.0,4.0,68.0,18255.0,344.0,0.0,1.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.23
Le Temps des As,2014,1,4,90,10,44.0,2.67,188,5.54754,16.0,10.0,37.0,17666.0,57.0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.59
Expedite,2012,2,4,30,14,75.0,1.86,142,5.54693,111.0,10.0,36.0,18085.0,160.0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.13
Eclipse,1999,2,2,15,8,156.0,1.89,288,5.54694,78.0,15.0,45.0,52455.0,637.0,0.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.13
Dragon's Cave,2019,2,4,0,7,84.0,1.0,176,5.55406,15.0,4.0,25.0,15138.0,241.0,0.0,1.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.53
Kriegbot,2008,2,6,120,0,62.0,2.67,206,5.5481,126.0,18.0,55.0,34609.0,103.0,0.0,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.17
Page Quest SEASON 1: Mythical Artifacts,2018,1,2,20,12,49.0,2.0,209,5.54688,16.0,7.0,26.0,16824.0,214.0,0.0,2.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.06
MedWar Sicily,2009,1,4,120,10,84.0,2.28,250,5.54719,118.0,8.0,59.0,37732.0,73.0,0.0,2.0,4.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.47
Pencil Park,2017,1,10,20,14,65.0,1.8,88,5.54509,73.0,10.0,41.0,16605.0,513.0,0.0,2.0,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.85
The Great Wall,2021,1,4,180,13,75.0,3.17,287,5.55541,66.0,55.0,181.0,119483.0,38.0,0.0,2.0,7.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.41
Zerywia,2021,1,4,150,13,37.0,3.0,86,5.56195,8.0,11.0,23.0,21928.0,47.0,0.0,4.0,5.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.7
800 Heroes: Defense of Sihang Warehouse,2009,1,2,30,10,61.0,1.7,218,5.54745,19.0,5.0,43.0,22650.0,63.0,0.0,2.0,3.0,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.87
"Alexandria, 1801",1996,2,2,240,12,50.0,3.2,189,5.54899,22.0,4.0,27.0,17653.0,8.0,0.0,2.0,2.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.35
Pirate Tricks,2019,3,5,45,8,50.0,2.0,114,5.54951,17.0,11.0,8.0,12137.0,115.0,1.0,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.02
Aikamatka: Suomi,2017,1,8,60,10,65.0,1.0,48,5.54802,2.0,0.0,15.0,4570.0,381.0,0.0,2.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.68
Micro Monsters,2012,2,4,30,6,76.0,1.0,161,5.54772,55.0,4.0,18.0,30280.0,600.0,0.0,3.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.64
Four Suspects,2016,2,5,45,10,64.0,2.0,105,5.54672,13.0,11.0,9.0,9150.0,119.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.79
Humboldt's Great Voyage,2019,2,4,60,10,148.0,1.8,224,5.5544,116.0,25.0,51.0,33519.0,351.0,0.0,4.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.14
Parkies,2015,2,6,60,12,51.0,2.5,104,5.54737,27.0,5.0,16.0,8734.0,136.0,0.0,0.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.2
5150,2006,2,4,120,12,48.0,2.6,124,5.54646,15.0,1.0,23.0,32168.0,54.0,0.0,3.0,4.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.31
Rise!,2012,2,2,20,8,186.0,1.83,447,5.55098,293.0,10.0,87.0,33847.0,403.0,0.0,3.0,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.08
Kings of War (Second Edition),2015,2,2,60,0,40.0,3.0,86,5.55354,10.0,1.0,12.0,6837.0,49.0,0.0,4.0,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.09
The Walking Dead: The Board Game,2011,1,6,60,13,1075.0,2.03,2416,5.54743,612.0,20.0,279.0,251895.0,1345.0,0.0,5.0,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.71
HOPE,2018,2,4,60,12,173.0,2.8,653,5.54577,223.0,6.0,81.0,81406.0,271.0,0.0,3.0,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.27
String Safari,2013,3,5,30,10,163.0,1.44,426,5.54991,167.0,10.0,77.0,28397.0,330.0,0.0,2.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.01
Deukalion,2008,2,4,60,10,206.0,2.18,457,5.54735,206.0,6.0,65.0,40134.0,175.0,0.0,5.0,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.95
Kaleidos Junior,1997,2,99,30,5,70.0,0.0,160,5.5473,10.0,4.0,14.0,13942.0,257.0,0.0,1.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.72
Qyshinsu: Mystery of the Way,2008,2,2,15,0,81.0,3.0,46,5.54968,85.0,26.0,46.0,24930.0,306.0,0.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.71
Get Adler! Deduction Card Game,2016,4,8,30,10,93.0,1.5,339,5.54879,73.0,5.0,58.0,25600.0,190.0,0.0,4.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.2
Song of Arthur and Merlin,2008,1,2,45,0,39.0,2.4,109,5.54725,10.0,5.0,13.0,18373.0,34.0,0.0,6.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.23
MixUp,2006,2,2,20,8,115.0,1.67,168,5.54811,82.0,3.0,54.0,17438.0,528.0,1.0,1.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.28
Guardians of Xobos,2018,2,4,90,12,56.0,3.5,97,5.54615,16.0,5.0,15.0,16122.0,81.0,0.0,2.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.6
15 Days,2020,1,4,30,0,37.0,2.0,449,5.6295,35.0,13.0,76.0,17345.0,557.0,0.0,1.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.53
Commands & Colors Tricorne: Jacobite Rising,2020,2,2,90,0,33.0,2.0,157,5.55295,24.0,21.0,30.0,22556.0,162.0,0.0,2.0,5.0,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.34
Battleborn Legacy,2017,2,4,180,14,51.0,3.0,176,5.54701,41.0,3.0,36.0,23922.0,51.0,0.0,2.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.03
Partizan!,2011,1,2,240,10,43.0,2.5,232,5.54774,20.0,11.0,42.0,23187.0,34.0,0.0,2.0,3.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.36
Red Steel: Clash Of Armor At Kishinev,1996,2,2,120,14,71.0,2.82,375,5.54712,58.0,3.0,62.0,24584.0,28.0,0.0,2.0,2.0,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.7
Conqueror: Final Conquest,2020,3,6,120,14,66.0,2.33,56,5.55235,1.0,5.0,37.0,10570.0,18.0,0.0,2.0,11.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.89
Light Hunters: Battalion of Darkness,2017,2,8,30,10,81.0,2.0,300,5.5475,36.0,5.0,29.0,14680.0,230.0,0.0,4.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.88
Magic Fold,2018,2,4,30,7,85.0,1.5,143,5.54811,20.0,13.0,29.0,12194.0,234.0,0.0,5.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.51
Command Decision: Test of Battle,2006,2,2,240,12,41.0,3.14,81,5.547,11.0,3.0,21.0,19786.0,74.0,0.0,3.0,3.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.14
15 Dias: The Spanish Golden Age,2014,2,8,60,12,109.0,2.88,262,5.54612,94.0,2.0,39.0,37368.0,93.0,0.0,4.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.35
Human Interface: Nakamura Tower,2016,2,6,180,12,64.0,3.67,321,5.54107,52.0,27.0,37.0,59998.0,40.0,0.0,2.0,6.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.52
Frigiti,2011,4,6,40,13,55.0,1.0,119,5.5485,50.0,1.0,19.0,9149.0,85.0,0.0,3.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.96
Help Me!,2011,2,6,10,7,144.0,1.38,308,5.54758,118.0,6.0,45.0,24399.0,531.0,0.0,4.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.12
EinStein wrfelt nicht!,2004,2,2,10,6,79.0,1.57,60,5.54723,63.0,7.0,38.0,19694.0,1034.0,0.0,1.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.63
The Dauphin and the Sword,2014,2,2,0,0,35.0,2.54,149,5.54845,12.0,7.0,23.0,12552.0,22.0,0.0,2.0,2.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.93
Devil Boats: PT Boats in the Solomons,2021,1,1,60,14,49.0,2.83,0,5.53072,20.0,17.0,45.0,38365.0,48.0,0.0,3.0,6.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.84
Anno Domini: Showbizz,2008,2,8,30,10,63.0,2.0,182,5.54781,4.0,1.0,11.0,3954.0,134.0,0.0,4.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.81
18 Holes,2020,1,5,60,13,46.0,1.67,145,5.56529,12.0,28.0,26.0,17844.0,142.0,2.0,2.0,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.16
Duffers,2020,1,4,90,12,65.0,2.0,127,5.5534,13.0,14.0,43.0,8255.0,106.0,0.0,3.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.88
Battleground World War II,1997,2,2,60,12,63.0,3.64,108,5.54626,21.0,2.0,24.0,31029.0,53.0,0.0,3.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.21
Return to Dark Tower,2021,1,4,120,10,51.0,3.0,285,5.55353,91.0,113.0,164.0,206195.0,84.0,0.0,4.0,11.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.47
Atlantis: Island of Gods,2018,2,4,45,14,108.0,3.0,311,5.54535,72.0,7.0,43.0,51069.0,182.0,0.0,5.0,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.41
Cornucopia,2010,2,5,60,8,258.0,1.44,530,5.54805,266.0,19.0,128.0,40026.0,530.0,0.0,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.84
Espa¤a 20: Volume 1,2014,2,2,60,13,40.0,2.33,143,5.54707,21.0,16.0,19.0,17660.0,29.0,0.0,2.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.59
Overload,2019,3,5,30,8,82.0,1.0,148,5.54695,8.0,3.0,12.0,9096.0,220.0,1.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.52
CrossCribb,1996,1,6,45,8,96.0,2.0,209,5.54709,46.0,4.0,37.0,15949.0,219.0,0.0,1.0,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.42
Cycling Party,2014,2,6,60,10,80.0,2.1,175,5.54679,30.0,12.0,27.0,33318.0,184.0,0.0,2.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.75
Bloxx!,2018,2,4,15,6,89.0,1.0,158,5.54519,19.0,7.0,20.0,10697.0,415.0,0.0,2.0,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.39
Canoe,2003,2,2,30,0,66.0,2.89,96,5.5489,81.0,14.0,44.0,31210.0,170.0,0.0,2.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.64
Crazy Lab,2013,3,5,20,10,200.0,2.2,372,5.54761,51.0,7.0,50.0,24180.0,537.0,0.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.98
Alchemical Crystal Quest (Second Edition),2017,1,4,120,14,106.0,3.33,432,5.54642,38.0,9.0,57.0,25808.0,281.0,0.0,4.0,5.0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.8
Seize the Bean,2021,1,4,90,10,85.0,2.2,124,5.54782,167.0,66.0,112.0,60220.0,199.0,0.0,3.0,6.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.81
­Extinci¢n!,2020,2,6,15,8,53.0,1.5,133,5.57713,1.0,0.0,14.0,6297.0,235.0,1.0,1.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.68
Das GROSSE und das kleine A,1996,3,9,45,10,87.0,1.25,189,5.54607,26.0,3.0,25.0,13202.0,105.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.41
Zaibatsu,2010,2,4,120,14,59.0,2.71,141,5.54754,68.0,7.0,37.0,72306.0,78.0,0.0,2.0,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.1
