ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,BGG Rank,Complexity Average,Owned Users,Mechanics,Domains
49399,Battleground Fantasy Warfare: Undead Army,2005,2,2,60,12,54.0,7.15,9572.0,2.67,368,Variable Phase Order,Wargames
143023,Alea Iacta Est,2013,2,2,0,0,48.0,7.59,9573.0,3.08,221,"Area Movement, Dice Rolling, Scenario / Mission / Campaign Game, Simulation",Wargames
124548,The Doom That Came to Atlantic City,2013,2,4,45,15,324.0,5.99,9574.0,1.83,796,"Dice Rolling, Hand Management, Roll / Spin and Move, Take That, Trading, Variable Player Powers",Unknown
745,War of Resistance,1998,2,2,0,12,64.0,6.98,9575.0,4.5,292,Hexagon Grid,Wargames
26233,Manimals,2006,2,6,20,6,105.0,6.36,9576.0,1.14,217,"Card Drafting, Drafting, Real-Time",Children's Games
15269,The Headlines Game,1989,2,12,45,12,75.0,6.81,9577.0,1.0,120,Card Drafting,Unknown
168265,oddball Aeronauts 2: Double the Trouble,2015,2,4,20,9,91.0,6.57,9578.0,1.83,342,Hand Management,Unknown
186435,Zimby Mojo,2016,1,8,120,14,136.0,6.77,9579.0,2.89,485,"Dice Rolling, Grid Movement, Hand Management, Pick-up and Deliver, Simultaneous Action Selection, Solo / Solitaire Game, Team-Based Game, Variable Phase Order",Unknown
1477,Days of Decision II,1994,2,7,300,14,115.0,6.35,9580.0,3.67,276,"Area-Impulse, Dice Rolling, Simulation","Strategy Games, Wargames"
293112,White Eagle Defiant: Poland 1939,2020,1,2,90,0,34.0,8.13,9581.0,1.83,85,"Chit-Pull System, Dice Rolling, Point to Point Movement, Simulation",Wargames
5383,MechWar '77: Tactical Armored Combat in the 1970's,1975,2,2,270,12,157.0,6.25,9582.0,3.2,492,"Dice Rolling, Events, Grid Movement, Hexagon Grid, Line of Sight, Movement Points, Paper-and-Pencil, Programmed Movement, Scenario / Mission / Campaign Game, Simulation, Simultaneous Action Selection",Wargames
35457,Burnside Takes Command,2003,2,2,120,0,31.0,8.45,9583.0,3.27,171,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Zone of Control",Wargames
11581,King,0,4,4,40,8,61.0,6.95,9584.0,2.0,51,Trick-taking,Unknown
146034,Donburiko,2013,2,4,15,7,110.0,6.32,9585.0,1.38,157,Hand Management,Unknown
165633,Slap .45,2015,3,7,20,10,139.0,6.4,9586.0,1.33,629,Action Queue,Party Games
186974,Khe Sanh '68,2015,1,1,0,0,97.0,6.47,9587.0,1.56,289,Point to Point Movement,Wargames
